,Cost
"('CD1', 'CD1')",9999999.0
"('CD1', 'CD2')",100028.979
"('CD1', 'CD3')",32443.47
"('CD1', 'CD4')",22710.429
"('CD1', 'CD5')",63522.495
"('CD1', 'CD6')",51666.984
"('CD1', 'CD7')",63977.31
"('CD1', 'CD8')",41570.091
"('CD1', 'CD9')",13128.993
"('CD1', 'CD10')",93024.828
"('CD1', 'CD11')",41327.523
"('CD1', 'CD12')",79744.23
"('CD1', 'C1')",48877.452
"('CD1', 'C2')",31746.087
"('CD1', 'C3')",60005.259
"('CD1', 'C4')",27652.752
"('CD1', 'C5')",39932.757
"('CD1', 'C6')",36779.373
"('CD1', 'C7')",22255.614
"('CD1', 'C8')",94965.372
"('CD1', 'C9')",16433.982
"('CD1', 'C10')",45875.673
"('CD1', 'C11')",46664.019
"('CD1', 'C12')",52910.145
"('CD1', 'C13')",55820.961
"('CD1', 'C14')",48089.106
"('CD1', 'C15')",67221.657
"('CD1', 'C16')",62612.865
"('CD1', 'C17')",70526.646
"('CD1', 'C18')",71678.844
"('CD1', 'C19')",67009.41
"('CD1', 'C20')",35627.175
"('CD1', 'C21')",24529.689
"('CD1', 'C22')",79471.341
"('CD1', 'C23')",69586.695
"('CD1', 'C24')",56275.776
"('CD1', 'C25')",93631.248
"('CD1', 'C26')",46512.414
"('CD1', 'C27')",81320.922
"('CD1', 'C28')",57549.258
"('CD1', 'C29')",21800.799
"('CD1', 'C30')",54729.405
"('CD1', 'C31')",42449.4
"('CD1', 'C32')",44117.055
"('CD1', 'C33')",69465.411
"('CD1', 'C34')",67161.015
"('CD1', 'C35')",61430.346
"('CD1', 'C36')",86566.455
"('CD1', 'C37')",72406.548
"('CD1', 'C38')",43449.993
"('CD2', 'CD1')",101696.634
"('CD2', 'CD2')",9999999.0
"('CD2', 'CD3')",103333.968
"('CD2', 'CD4')",90841.716
"('CD2', 'CD5')",41964.264
"('CD2', 'CD6')",58095.036
"('CD2', 'CD7')",42873.894
"('CD2', 'CD8')",73346.499
"('CD2', 'CD9')",97239.447
"('CD2', 'CD10')",7822.818
"('CD2', 'CD11')",67828.077
"('CD2', 'CD12')",19466.082
"('CD2', 'C1')",73407.141
"('CD2', 'C2')",98179.398
"('CD2', 'C3')",47513.007
"('CD2', 'C4')",90841.716
"('CD2', 'C5')",121829.778
"('CD2', 'C6')",107669.871
"('CD2', 'C7')",92024.235
"('CD2', 'C8')",35233.002
"('CD2', 'C9')",94086.063
"('CD2', 'C10')",58792.419
"('CD2', 'C11')",72800.721
"('CD2', 'C12')",57064.122
"('CD2', 'C13')",60642.0
"('CD2', 'C14')",53425.602
"('CD2', 'C15')",36749.052
"('CD2', 'C16')",43601.598
"('CD2', 'C17')",57609.9
"('CD2', 'C18')",39296.016
"('CD2', 'C19')",58276.962
"('CD2', 'C20')",70466.004
"('CD2', 'C21')",89477.271
"('CD2', 'C22')",35445.249
"('CD2', 'C23')",32170.581
