origen,destino,distancia_km
CD1,CD1,999.0
CD1,CD2,32.99
CD1,CD3,10.7
CD1,CD4,7.49
CD1,CD5,20.95
CD1,CD6,17.04
CD1,CD7,21.1
CD1,CD8,13.71
CD1,CD9,4.33
CD1,CD10,30.68
CD1,CD11,13.63
CD1,CD12,26.3
CD1,C1,16.12
CD1,C2,10.47
CD1,C3,19.79
CD1,C4,9.12
CD1,C5,13.17
CD1,C6,12.13
CD1,C7,7.34
CD1,C8,31.32
CD1,C9,5.42
CD1,C10,15.13
CD1,C11,15.39
CD1,C12,17.45
CD1,C13,18.41
CD1,C14,15.86
CD1,C15,22.17
CD1,C16,20.65
CD1,C17,23.26
CD1,C18,23.64
CD1,C19,22.1
CD1,C20,11.75
CD1,C21,8.09
CD1,C22,26.21
CD2,CD1,33.54
CD2,CD2,999.0
CD2,CD3,34.08
CD2,CD4,29.96
CD2,CD5,13.84
CD2,CD6,19.16
CD2,CD7,14.14
CD2,CD8,24.19
CD2,CD9,32.07
CD2,CD10,2.58
CD2,CD11,22.37
CD2,CD12,6.42
CD2,C1,24.21
CD2,C2,32.38
CD2,C3,15.67
CD2,C4,29.96
CD2,C5,40.18
CD2,C6,35.51
CD2,C7,30.35
CD2,C8,11.62
CD2,C9,31.03
CD2,C10,19.39
CD2,C11,24.01
CD2,C12,18.82
CD2,C13,20.0
CD2,C14,17.62
CD2,C15,12.12
CD2,C16,14.38
CD2,C17,19.0
CD2,C18,12.96
CD2,C19,19.22
CD2,C20,23.24
CD2,C21,29.51
CD2,C22,11.69
CD3,CD1,13.9
CD3,CD2,38.88
CD3,CD3,999.0
CD3,CD4,15.76
CD3,CD5,32.09
CD3,CD6,28.18
CD3,CD7,26.98
CD3,CD8,24.86
CD3,CD9,17.63
CD3,CD10,36.57
CD3,CD11,24.77
CD3,CD12,32.18
CD3,C1,30.19
CD3,C2,10.52
CD3,C3,30.94
CD3,C4,13.79
CD3,C5,6.1
CD3,C6,7.04
CD3,C7,14.77
CD3,C8,41.65
CD3,C9,20.73
CD3,C10,19.84
CD3,C11,29.47
CD3,C12,21.3
CD3,C13,31.99
CD3,C14,20.57
CD3,C15,28.05
CD3,C16,31.8
CD3,C17,34.41
CD3,C18,31.99
CD3,C19,35.68
CD3,C20,18.9
