VehicleId,DepotId,InitialLoad,RouteSequence,ClientsServed,DemandsSatisfied,TotalDistance,TotalTime,FuelCost
VEH1,CD4,12,CD4-C7-CD4,1,12,2.37,0,7186.077
VEH2,CD4,132,CD4-C67-C74-C69-C20-C41-C82-C63-C4-C47-C66-C58-CD1,11,12-12-12-12-12-12-12-12-12-12-12,32.28,0,97876.188
VEH3,CD6,114,CD6-C32-C11-C75-C1-C26-C87-C33-C64-C13-C55-CD6,10,12-12-12-12-12-10-12-12-8-12,42.87,0,129986.127
VEH4,CD3,59,CD3-C31-C5-C77-C6-C2-CD3,5,11-12-12-12-12,36.75,0,111429.675
VEH5,CD7,108,CD7-C24-C35-C12-C72-C14-C90-C10-C43-C39-CD7,9,12-12-12-12-12-12-12-12-12,27.990000000000002,0,84868.479
VEH6,CD6,33,CD6-C85-C30-C57-CD11,3,12-12-9,10.3,0,31230.63
VEH7,CD5,48,CD5-C45-C18-C16-C48-CD5,4,12-12-12-12,7.789999999999999,0,23620.058999999997
VEH8,CD12,60,CD12-C22-C36-C88-C8-C70-CD12,5,12-12-12-12-12,24.29,0,73649.70899999999
VEH9,CD9,60,CD9-C61-C49-C29-C21-C9-CD9,5,12-12-12-12-12,16.06,0,48695.526
VEH10,CD7,96,CD7-C34-C15-C84-C89-C73-C23-C59-C56-CD7,8,12-12-12-12-12-12-12-12,25.849999999999998,0,78379.78499999999
VEH11,CD5,120,CD5-C51-C60-C46-C76-C65-C42-C19-C17-C28-C3-CD5,10,12-12-12-12-12-12-12-12-12-12,34.36,0,104182.95599999999
VEH12,CD8,36,CD8-C44-C62-C78-CD8,3,12-12-12,12.48,0,37840.608
VEH13,CD10,65,CD10-C53-C83-C80-C52-C86-C25-CD10,6,12-12-5-12-12-12,20.34,0,61672.914
VEH14,CD12,60,CD12-C79-C68-C27-C54-C37-CD12,5,12-12-12-12-12,12.25,0,37143.225
VEH15,CD11,60,CD11-C38-C50-C81-C40-C71-CD9,5,12-12-12-12-12,40.91,0,124043.21099999998
